Estacao,Data,Precipitacao,Humidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Vento,Periodo
83936,01/11/2019,1.3,85.5,2.95564856,9.33333,25.8,18.4,111,21.11,22.22,23.89,23.89,25.0,25.0,3.066667,Spring
83936,02/11/2019,0,81.5,5.52721013,6.66667,32.2,19,211,27.22,28.89,30.0,31.11,32.22,27.78,1.6,Spring
83936,03/11/2019,3.4,92.5,1.01436499,10,23.2,19.8,311,21.11,21.11,21.11,21.11,22.22,22.22,2.433333,Spring
83936,04/11/2019,5.6,98.5,0.33525619,9.33333,20.8,17.4,411,17.78,17.78,17.78,17.78,17.78,17.78,2.766667,Spring
83936,05/11/2019,53.9,83,1.73502408,9.66667,24.8,19.6,511,21.11,22.22,22.22,22.22,23.89,25.0,2.133333,Spring
83936,06/11/2019,0,64,9.29609218,2.66667,25.6,16.2,611,18.89,21.11,22.22,22.78,23.89,25.0,3.866667,Spring
83936,07/11/2019,30.4,90.75,5.67662463,4,27.4,16.4,711,17.22,20.0,20.0,21.11,22.78,23.89,1.266667,Spring
83936,08/11/2019,0,77,8.49110945,3.33333,27.8,17.8,811,18.89,20.0,22.22,23.89,23.89,26.11,2.033333,Spring
83936,09/11/2019,0,88.5,5.6801164,4.66667,27.2,19.8,911,22.22,22.78,23.89,23.89,26.11,27.22,2.6,Spring
83936,10/11/2019,2,73,5.42966817,8.33333,28.6,21,1011,22.22,23.89,23.89,27.22,27.22,27.78,3.566667,Spring
83936,11/11/2019,0,76.25,5.60921107,6.33333,25.4,18.6,1111,20.0,21.11,22.22,22.22,22.78,25.0,4.233333,Spring
83936,12/11/2019,0,75.5,5.59736877,10,30.2,18.2,1211,21.11,22.22,25.0,27.78,30.0,30.0,2.233333,Spring
83936,13/11/2019,0,79.75,3.68816481,10,28.2,21.4,1311,25.0,26.11,27.22,27.78,27.78,27.78,2.366667,Spring
83936,14/11/2019,4.6,78.25,5.13275125,8.66667,29.6,20,1411,21.11,22.22,23.89,23.89,25.0,27.22,1.633333,Spring
83936,15/11/2019,0,59.5,9.14373155,5,26.8,19.8,1511,20.0,22.22,22.78,25.0,25.0,25.0,1.6,Spring
83936,16/11/2019,0,66,11.23203407,0.666667,26.6,14.8,1611,18.89,21.11,22.78,22.78,25.0,26.11,1.766667,Spring
83936,17/11/2019,0,58.75,10.91695028,5,30.4,13.8,1711,17.78,21.11,22.78,26.11,27.22,28.89,1.333333,Spring
83936,18/11/2019,0,58.75,11.98022519,3.33333,32.2,15.2,1811,18.89,22.22,23.89,27.78,30.0,31.11,2.266667,Spring
83936,19/11/2019,0,65.25,10.89119402,3.33333,32,16.4,1911,18.89,22.22,23.89,26.11,27.78,30.0,2.366667,Spring
83936,20/11/2019,0,66.5,11.32942215,1.33333,33.6,19.2,2011,18.89,20.0,21.11,23.89,25.0,27.22,2.333333,Spring
83936,21/11/2019,0,75,9.63917096,4.66667,36.4,21.8,2111,22.22,23.89,27.22,30.0,32.78,35.0,3.066667,Spring
83936,22/11/2019,2.8,90.5,4.96278772,6,33.2,20.8,2211,27.22,28.89,31.11,32.78,25.0,23.89,2.666667,Spring
83936,23/11/2019,41.2,65.5,4.86458522,8.66667,25.8,19,2311,18.89,20.0,20.0,22.22,22.78,23.89,4.066667,Spring
83936,24/11/2019,0,60.75,12.02169282,0,25,13.6,2411,16.11,17.78,20.0,22.22,22.78,22.78,3.733333,Spring
83936,25/11/2019,0,63,11.11139262,2.33333,29.4,14.6,2511,18.89,21.11,23.89,25.0,27.22,27.78,3.766667,Spring
83936,26/11/2019,0,89.5,2.44556197,10,24.6,18.6,2611,20.0,23.89,25.0,23.89,22.22,20.0,2,Spring
83936,27/11/2019,16.2,75.25,5.10129687,9.33333,26.8,19.4,2711,18.89,20.0,22.78,23.89,25.0,25.0,2.266667,Spring
83936,28/11/2019,0,60.75,12.71816399,0,27,13.6,2811,17.22,18.89,21.11,22.78,25.0,25.0,2.133333,Spring
83936,29/11/2019,0,67,12.16935396,1,34.6,14.6,2911,13.89,12.78,13.89,17.22,21.11,25.0,1.366667,Spring
83936,30/11/2019,0,74.75,5.83348119,8.66667,28.4,21,3011,21.11,25.0,27.22,25.0,25.0,25.0,0.966667,Spring
