Data,Energia,Previsao
01.09.2019,"11,5","8,96221328"
02.09.2019,"14,84","12,56940153"
03.09.2019,"14,49","10,56591172"
04.09.2019,"15,29","12,76109584"
05.09.2019,"12,71","8,6903605"
06.09.2019,"3,14","2,32112433"
07.09.2019,"2,23","4,10417213"
08.09.2019,"5,23","9,11598904"
09.09.2019,"9,86","11,521137"
10.09.2019,"5,05","5,40972763"
11.09.2019,"0,98","2,37358791"
12.09.2019,"5,27","5,1678892"
13.09.2019,"8,47","6,61852511"
14.09.2019,"5,28","5,01126707"
15.09.2019,"11,8","13,32072333"
16.09.2019,"4,47","4,00884979"
17.09.2019,"2,49","3,36205593"
18.09.2019,"11,28","8,16930365"
19.09.2019,"14,36","11,60920552"
20.09.2019,"13,9","12,06101073"
21.09.2019,"17,03","13,47235327"
22.09.2019,"16,29","14,30209319"
23.09.2019,"16,09","12,92650663"
24.09.2019,"15,84","12,11182138"
25.09.2019,"16,15","15,04753316"
26.09.2019,"15,77","15,30204757"
27.09.2019,"16,35","12,34481181"
28.09.2019,"15,74","13,79815922"
29.09.2019,"15,99","15,9478809"
30.09.2019,"15,33","19,73859868"
Total:,"333,22","302,71535705"
