Data,Energia,Previsoes
01.05.2020,"11,83","13,40405185"
02.05.2020,"12,5","13,42685812"
03.05.2020,"12,34","14,22640436"
04.05.2020,"3,28","3,43103754"
05.05.2020,"1,42","2,94197777"
06.05.2020,"7,98","7,59427468"
07.05.2020,"12,13","7,18270407"
08.05.2020,"11,56","9,23448078"
09.05.2020,"11,38","11,37123485"
10.05.2020,"8,94","12,87867903"
11.05.2020,"6,25","5,95217437"
12.05.2020,0,"2,33102743"
13.05.2020,"1,41","2,54459925"
14.05.2020,"11,4","10,11930407"
15.05.2020,"11,63","6,88923364"
16.05.2020,"10,76","11,39928976"
17.05.2020,"10,31","10,82475409"
18.05.2020,"10,58","7,95126706"
19.05.2020,"10,02","12,16736881"
20.05.2020,"10,02","10,74499853"
21.05.2020,"0,13","3,64825964"
22.05.2020,"1,05","0,89586722"
23.05.2020,"2,01","3,43445632"
24.05.2020,"5,77","3,91204402"
25.05.2020,"10,5","7,43161322"
26.05.2020,"7,4","4,82414555"
27.05.2020,"10,22","8,06282696"
28.05.2020,"10,09","11,58673269"
29.05.2020,"9,71","8,17579712"
30.05.2020,"9,1","8,16604199"
31.05.2020,"3,01","3,71486601"
Total,"244,73","240,4683708"
