Estacao,Data,Precipitacao,Humidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Vento
83936,01/09/2019,0,80.5,,5.33333,18.8,10.2,19,13.88888888888889,15.0,17.22222222222222,17.22222222222222,17.77777777777778,17.77777777777778,0.533333
83936,02/09/2019,0,78.75,,1,19.4,3.8,29,10.0,12.777777777777777,16.11111111111111,17.77777777777778,18.88888888888889,18.88888888888889,0.766667
83936,03/09/2019,0,74.5,,3.66667,17.6,6.4,39,12.222222222222221,12.777777777777777,15.0,16.11111111111111,17.22222222222222,17.22222222222222,1.033333
83936,04/09/2019,0,70.5,,0,16.4,3.6,49,8.88888888888889,11.11111111111111,12.777777777777777,13.88888888888889,15.0,15.0,0.866667
83936,05/09/2019,0,67.75,,6.66667,15,5,59,7.777777777777778,10.0,12.222222222222221,12.777777777777777,13.88888888888889,15.0,3.3
83936,06/09/2019,0,92.5,,10,14.6,10.2,69,11.11111111111111,12.777777777777777,12.777777777777777,13.88888888888889,12.777777777777777,12.777777777777777,2.3
83936,07/09/2019,5.9,95.5,,7.66667,19.8,13.2,79,18.88888888888889,18.88888888888889,18.88888888888889,18.88888888888889,20.0,18.88888888888889,1.3
83936,08/09/2019,14,82.5,,10,30.6,17.4,89,20.0,22.77777777777778,25.0,31.11111111111111,31.11111111111111,27.77777777777778,1.033333
83936,09/09/2019,1.7,55.5,,9.66667,34.2,20,99,30.0,30.0,32.22222222222222,33.888888888888886,33.888888888888886,33.888888888888886,6.833333
83936,10/09/2019,0,89.75,,9.66667,23.8,16.6,109,17.22222222222222,17.77777777777778,18.88888888888889,20.0,20.0,20.0,2.233333
83936,11/09/2019,23.8,97.25,,10,18.6,14.2,119,15.0,16.11111111111111,15.0,17.22222222222222,17.77777777777778,18.88888888888889,1.866667
83936,12/09/2019,31.4,89.75,,9,21.4,15.6,129,16.11111111111111,16.11111111111111,17.22222222222222,17.77777777777778,20.0,21.11111111111111,1.333333
83936,13/09/2019,1.6,82,,7.33333,17.6,14.4,139,16.11111111111111,16.11111111111111,17.22222222222222,17.22222222222222,17.22222222222222,17.77777777777778,2.9
83936,14/09/2019,0,91.75,,7.66667,18.6,12.4,149,15.0,17.22222222222222,18.88888888888889,17.77777777777778,17.77777777777778,17.77777777777778,2.6
83936,15/09/2019,0.8,85.75,,2.33333,29.2,15.2,159,17.77777777777778,21.11111111111111,22.77777777777778,26.11111111111111,27.77777777777778,28.88888888888889,1.5
83936,16/09/2019,0,79,,6,32,15.8,169,32.77777777777778,27.77777777777778,21.11111111111111,21.11111111111111,23.88888888888889,22.77777777777778,5.433333
