Estacao,Data,Precipitacao,Umidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,condicao1,condicao2,condicao3,condicao4,condicao5,condicao6,DataEnergia,Energia
83936,19/4/2017,0,81.75,0.7, 7.33333,25.2,17.6,194,17,17,20,22,23,25,8,8,8,8,8,8,19.04.2017,1.12
83936,20/4/2017,4.7,85,0, 9.33333,25.4,19,204,22,22,22,22,22,23,8,8,8,0,0,0,20.04.2017,3.02
83936,21/4/2017,11.5,96.25,1,10,20.6,15.2,214,21,21,17,17,20,16,14,14,14,8,0,0,21.04.2017,1.94
83936,22/4/2017,0,84.75,10, 0.666667,24.4,11.2,224,16,20,22,22,22,22,0,0,0,8,8,5,22.04.2017,11.26
83936,23/4/2017,0,75.25,10,0,24.4,9.2,234,16,17,21,22,22,23,0,0,0,0,0,0,23.04.2017,11.18
83936,24/4/2017,25.4,96.75,0.1, 9.66667,18.6,15.2,244,16,16,17,18,18,17,8,8,14,14,14,14,24.04.2017,0.73
83936,25/4/2017,21.6,86.5,0, 9.33333,21.4,18,254,18,20,20,21,21,21,14,8,8,8,8,14,25.04.2017,0.55
83936,26/4/2017,0,65.25,8.4,9,21.2,12.8,264,13,13,16,16,16,17,8,8,8,8,9,8,26.04.2017,8.52
83936,27/4/2017,0,75.25,10.1,0,20.2,9.8,274,16,17,18,18,17,12,0,5,0,0,0,0,27.04.2017,11.45
83936,28/4/2017,0,80.75,9.8,0,23.8,5.6,284,7,12,18,20,21,21,2,0,0,0,0,0,28.04.2017,11.1
83936,29/4/2017,0,80,9.8,0,24.4,6,294,12,16,17,21,22,22,0,0,0,0,0,0,29.04.2017,10.83
83936,30/4/2017,0,78.75,9.9,0,25.8,6.2,304,17,22,23,25,23,20,0,0,0,0,0,0,30.04.2017,10.73
83936,1/5/2017,0,85.25,4.4, 6.33333,23.4,11,15,12,12,13,16,18,21,0,0,0,0,0,0,01.05.2017,5.84
83936,2/5/2017,0,85.75,7.3, 6.66667,27.8,14.4,25,17,20,22,26,27,26,8,5,8,0,0,5,02.05.2017,7.38
83936,3/5/2017,0,89.75,2.5,6,25,14,35,17,20,22,22,23,25,2,0,0,0,0,0,03.05.2017,5.92
83936,4/5/2017,0,82.5,6.7, 8.33333,26.4,17,45,17,17,17,20,22,26,3,3,3,7,0,8,04.05.2017,6.91
83936,5/5/2017,0,90,4.8,4,24.2,15,55,17,20,21,22,23,20,3,8,8,5,0,0,05.05.2017,0.8
83936,6/5/2017,0,84.5,7.6, 6.66667,25.4,15.2,65,15,17,21,22,23,25,3,3,5,0,0,0,06.05.2017,9.29
83936,7/5/2017,0,83,8.5,7,28.8,17,75,18,22,27,27,27,27,0,0,0,0,0,0,07.05.2017,8.16
83936,8/5/2017,7.8,89,0.2, 6.66667,23.8,16,85,22,22,22,22,22,20,0,0,0,5,5,15,08.05.2017,1.8
83936,9/5/2017,0,92,2.7, 9.33333,22.4,15.6,95,17,18,20,20,20,21,7,8,8,8,8,8,09.05.2017,3.66
83936,10/5/2017,0,86.75,6.3, 7.33333,20.2,10.8,105,13,16,17,15,15,15,8,8,8,8,8,8,10.05.2017,5.44
83936,11/5/2017,0,85,0, 8.33333,18.8,11,115,15,13,13,12,12,12,0,0,0,0,0,0,11.05.2017,7.27
83936,12/5/2017,5.8,97,0.7,10,20,13.2,125,13,18,17,17,18,18,8,8,8,8,8,8,12.05.2017,3.77
83936,13/5/2017,46.2,96.5,0,10,17.4,15.4,135,17,17,17,17,17,17,20,20,20,20,15,7,13.05.2017,0.14
83936,14/5/2017,34.9,96,0.5,9,18.8,13.4,145,17,17,16,17,17,17,10,7,7,8,7,3,14.05.2017,2.92
83936,15/5/2017,0.5,94.5,0.4, 6.33333,20.2,11.4,155,17,17,18,18,18,18,8,8,8,8,8,8,15.05.2017,5.17
83936,16/5/2017,0,88.5,6,5,20.6,9.8,165,13,13,15,16,17,18,7,7,8,8,8,8,16.05.2017,7.29
83936,17/5/2017,0,89,6.2, 3.66667,21,11.8,175,12,15,16,17,20,20,3,3,8,5,5,0,17.05.2017,7
83936,18/5/2017,17.6,92.25,3.7, 6.66667,22,15,185,20,21,22,21,22,21,0,0,0,8,8,8,18.05.2017,6.99
83936,19/5/2017,1.8,92.5,2.8, 6.66667,21.4,15.6,195,17,18,20,20,20,21,0,0,8,8,8,0,19.05.2017,5.27
83936,20/5/2017,17.5,99,0,10,19,14.2,205,17,17,17,16,16,15,3,3,3,24,15,14,20.05.2017,0.59
83936,21/5/2017,0,87.75,8.7, 4.66667,21.6,9.8,215,13,15,17,17,18,20,5,5,0,0,0,0,21.05.2017,10.58
83936,22/5/2017,0,85.75,8.3, 3.33333,21.4,8.4,225,17,18,21,21,21,18,0,0,0,0,0,0,22.05.2017,10.69
83936,23/5/2017,0,90.75,0.1, 6.66667,17.4,13.6,235,13,13,13,16,16,15,8,14,14,7,7,16,23.05.2017,1.41
83936,24/5/2017,11.9,87.25,0.8, 8.66667,25,11.4,245,17,18,21,23,25,22,8,8,8,8,8,8,24.05.2017,3.22
83936,25/5/2017,0.2,75.75,5.9,9,31.6,21,255,25,28,30,31,31,30,23,23,0,5,5,5,25.05.2017,8.32
83936,26/5/2017,11.2,98.5,0, 9.66667,25.8,16.6,265,17,17,17,17,17,17,10,20,20,12,14,16,26.05.2017,0.47
83936,27/5/2017,61.4,97.5,0,10,16.6,14.2,275,15,15,13,13,13,15,14,7,14,16,14,16,27.05.2017,0.16
