Estacao,Data,Precipitacao,Umidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Morn,Day,Eve,Vento,Periodo,Energia
83936,19/4/2017,0,81.75,0.7,7.33333,25.2,17.6,194,17.78,22.22,25.0,2.133333,Autumn,1.12
83936,20/4/2017,4.7,85,0,9.33333,25.4,19,204,22.78,22.78,23.89,0.7,Autumn,3.02
83936,21/4/2017,11.5,96.25,1,10,20.6,15.2,214,21.11,17.78,16.11,1.266667,Autumn,1.94
83936,22/4/2017,0,84.75,10,0.666667,24.4,11.2,224,20.0,22.22,22.78,0.866667,Autumn,11.26
83936,23/4/2017,0,75.25,10,0,24.4,9.2,234,17.78,22.22,23.89,1.533333,Autumn,11.18
83936,24/4/2017,25.4,96.75,0.1,9.66667,18.6,15.2,244,16.11,18.89,17.78,1.2,Autumn,0.73
83936,25/4/2017,21.6,86.5,0,9.33333,21.4,18,254,20.0,21.11,21.11,4.966667,Autumn,0.55
83936,26/4/2017,0,65.25,8.4,9,21.2,12.8,264,13.89,16.11,17.78,3.7,Autumn,8.52
83936,27/4/2017,0,75.25,10.1,0,20.2,9.8,274,17.22,18.89,12.78,1.533333,Autumn,11.45
83936,28/4/2017,0,80.75,9.8,0,23.8,5.6,284,12.22,20.0,21.11,0.566667,Autumn,11.1
83936,29/4/2017,0,80,9.8,0,24.4,6,294,16.11,21.11,22.78,1.1,Autumn,10.83
83936,30/4/2017,0,78.75,9.9,0,25.8,6.2,304,22.22,25.0,20.0,1.266667,Autumn,10.73
83936,1/5/2017,0,85.25,4.4,6.33333,23.4,11,15,12.78,16.11,21.11,1.1,Autumn,5.84
83936,2/5/2017,0,85.75,7.3,6.66667,27.8,14.4,25,20.0,26.11,26.11,1.466667,Autumn,7.38
83936,3/5/2017,0,89.75,2.5,6,25,14,35,20.0,22.78,25.0,0.6,Autumn,5.92
83936,4/5/2017,0,82.5,6.7,8.33333,26.4,17,45,17.78,20.0,26.11,1.9,Autumn,6.91
83936,5/5/2017,0,90,4.8,4,24.2,15,55,20.0,22.22,20.0,1.533333,Autumn,0.8
83936,6/5/2017,0,84.5,7.6,6.66667,25.4,15.2,65,17.22,22.78,25.0,1.7,Autumn,9.29
83936,7/5/2017,0,83,8.5,7,28.8,17,75,22.78,27.78,27.22,1.933333,Autumn,8.16
