Precipitacao,Umidade,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Energia
0,81.75, 7.33333,25.2,17.6,194,17,17,20,22,23,25,1.12
4.7,85, 9.33333,25.4,19,204,22,22,22,22,22,23,3.02
11.5,96.25,10,20.6,15.2,214,21,21,17,17,20,16,1.94
0,84.75, 0.666667,24.4,11.2,224,16,20,22,22,22,22,11.26
0,75.25,0,24.4,9.2,234,16,17,21,22,22,23,11.18
25.4,96.75, 9.66667,18.6,15.2,244,16,16,17,18,18,17,0.73
21.6,86.5, 9.33333,21.4,18,254,18,20,20,21,21,21,0.55
0,65.25,9,21.2,12.8,264,13,13,16,16,16,17,8.52
0,75.25,0,20.2,9.8,274,16,17,18,18,17,12,11.45
0,80.75,0,23.8,5.6,284,7,12,18,20,21,21,11.1
0,80,0,24.4,6,294,12,16,17,21,22,22,10.83
0,78.75,0,25.8,6.2,304,17,22,23,25,23,20,10.73
0,85.25, 6.33333,23.4,11,15,12,12,13,16,18,21,5.84
0,85.75, 6.66667,27.8,14.4,25,17,20,22,26,27,26,7.38
0,89.75,6,25,14,35,17,20,22,22,23,25,5.92
0,82.5, 8.33333,26.4,17,45,17,17,17,20,22,26,6.91
0,90,4,24.2,15,55,17,20,21,22,23,20,0.8
0,84.5, 6.66667,25.4,15.2,65,15,17,21,22,23,25,9.29
0,83,7,28.8,17,75,18,22,27,27,27,27,8.16
7.8,89, 6.66667,23.8,16,85,22,22,22,22,22,20,1.8
0,92, 9.33333,22.4,15.6,95,17,18,20,20,20,21,3.66
0,86.75, 7.33333,20.2,10.8,105,13,16,17,15,15,15,5.44
0,85, 8.33333,18.8,11,115,15,13,13,12,12,12,7.27
5.8,97,10,20,13.2,125,13,18,17,17,18,18,3.77
46.2,96.5,10,17.4,15.4,135,17,17,17,17,17,17,0.14
34.9,96,9,18.8,13.4,145,17,17,16,17,17,17,2.92
0.5,94.5, 6.33333,20.2,11.4,155,17,17,18,18,18,18,5.17
0,88.5,5,20.6,9.8,165,13,13,15,16,17,18,7.29
0,89, 3.66667,21,11.8,175,12,15,16,17,20,20,7
17.6,92.25, 6.66667,22,15,185,20,21,22,21,22,21,6.99
1.8,92.5, 6.66667,21.4,15.6,195,17,18,20,20,20,21,5.27
17.5,99,10,19,14.2,205,17,17,17,16,16,15,0.59
0,87.75, 4.66667,21.6,9.8,215,13,15,17,17,18,20,10.58
0,85.75, 3.33333,21.4,8.4,225,17,18,21,21,21,18,10.69
0,90.75, 6.66667,17.4,13.6,235,13,13,13,16,16,15,1.41
11.9,87.25, 8.66667,25,11.4,245,17,18,21,23,25,22,3.22
0.2,75.75,9,31.6,21,255,25,28,30,31,31,30,8.32
11.2,98.5, 9.66667,25.8,16.6,265,17,17,17,17,17,17,0.47
61.4,97.5,10,16.6,14.2,275,15,15,13,13,13,15,0.16
27.6,93.5,10,18,15.4,285,17,17,17,17,17,17,1.16
0,89.25, 8.66667,20.6,15.8,295,16,17,16,17,17,17,5
0.2,93,9,17.4,14.4,305,15,16,16,16,16,16,1.64
27.9,92,10,15.8,14,315,15,15,15,15,16,16,1.4
16.3,97.75,10,16.2,13.6,16,13,15,16,16,16,15,3.03
7.5,89.25, 7.66667,20.4,11.6,26,17,18,17,18,17,15,7.75
0,89.5, 6.66667,20.6,9.4,36,13,15,17,18,18,20,7.52
12.2,96.5,10,18,15.8,46,17,17,17,17,17,17,1.74
2.8,91.75,10,16.6,14.6,56,15,15,16,16,16,16,1.54
0.4,97,10,14.8,13.2,66,12,13,13,13,13,13,1.11
0.4,97,10,16.4,13.2,76,12,13,16,17,16,17,1.51
66.4,91,10,17.8,14.6,86,16,15,15,15,15,16,2.08
6.5,85.25,10,15,9.2,96,10,10,10,10,10,10,1.54
0,78, 0.333333,18.4,9.2,106,12,15,16,16,17,17,9.87
0,88.5,0,21,5.2,116,10,13,15,17,17,18,9.53
0,90.75,0,18.8,6.6,126,11,12,12,17,17,17,9.63
0,97.75, 6.66667,16,9.6,136,11,11,11,12,12,12,4.37
0.1,98.25,10,14.2,10.4,146,11,12,12,12,12,13,3.55
0,89.75,10,21.2,12.2,156,12,12,15,17,20,20,7.73
0,60.25,9,27.8,17.6,166,22,25,26,27,27,27,7.05
0,49, 6.66667,29.4,21.8,176,22,26,27,27,28,28,8.22
4.7,87.5, 6.66667,27.4,8.6,186,17,15,16,12,10,10,0.98
0,83.5, 8.33333,13.8,5.6,196,7,8,10,10,11,11,3.96
0,83.25,0,13.2,1,206,2,6,8,10,11,12,10.09
0,87.75, 4.66667,21.4,5.6,216,7,10,12,17,18,21,7.7
0,66, 2.33333,26.2,11.8,226,17,20,15,22,25,25,8.85
0,63.5, 1.33333,27.4,18,236,20,22,22,23,26,27,8.99
0,72.25,1,28.4,19,246,22,25,27,27,27,25,8.51
0,77.5,1,26.2,15.2,256,20,21,22,23,25,25,9.06
0,62.5,6,25,15,266,20,22,22,23,25,25,8.09
0,55.75, 5.33333,28.6,17,276,20,21,22,23,26,27,8.56
0,77.5, 5.66667,26.6,18.2,286,23,23,23,25,26,27,2.57
0,79.5,6,28,15,296,17,17,20,22,25,27,7.99
6.9,93.75, 8.66667,21,10.8,306,12,12,13,13,15,13,2.67
0,89,1,16,6.6,17,8,12,12,13,15,16,7.84
0,85.5, 3.33333,16.4,6.6,27,7,12,12,15,15,16,8.27
0,87.25, 1.33333,18.8,6.2,37,7,11,12,16,17,17,9.3
0,79.5,4,21.8,8.6,47,12,15,17,21,21,21,9.13
0,67.25, 1.33333,24.8,10.6,57,17,18,20,21,22,23,9.16
0,75.5,4,25.2,14.6,67,17,21,22,22,23,23,8.56
0,75,10,25.2,10.2,77,18,22,23,23,25,23,8.72
0,70.75, 3.33333,27.2,12.8,87,18,20,22,22,25,26,8.81
0.5,76.5, 6.33333,25.2,16.6,97,20,21,22,25,25,23,5.17
0.5,83, 6.33333,27.4,14.4,107,16,18,22,22,23,26,8.04
8,97.5, 6.33333,20.6,15.4,117,18,20,20,20,18,18,2.69
0,92, 6.66667,23.4,16,127,16,17,17,18,21,22,6.05
0,70.25, 0.666667,28,15.8,137,21,22,23,25,27,27,9.49
0,57.5, 5.33333,27.6,15.4,147,22,23,25,26,26,27,7.09
0,40.5, 9.33333,28.8,21.8,157,22,23,25,27,27,28,8.6
0,93.75, 7.33333,26.4,7,167,12,12,12,11,8,7,0.14
5.6,71.25, 7.33333,10.8,5.4,177,6,7,7,7,8,10,5.66
0,73.5,0,12.6,-0.2,187,7,7,8,11,11,12,7.79
0,83.5,0,17.2,-1.2,197,7,10,12,13,13,16,10.94
0,83.5,0,20.8,0.8,207,8,13,16,18,20,21,10.8
0,79,0,21.2,4.8,217,15,17,20,20,20,18,10.57
0,83, 6.66667,20.6,4.2,227,12,17,20,20,18,16,10.53
0,54, 3.33333,28.4,6.8,237,11,12,17,20,22,25,10.11
0.1,58.25,4,28.4,15.2,247,26,37,27,27,27,27,3.37
0,69, 7.66667,28.6,17.2,257,21,23,25,27,27,27,6.81
0,85.75, 6.66667,27.6,14.2,267,15,18,22,27,26,25,10
0,86.75, 3.33333,26.2,11,277,13,20,22,25,26,26,9.81
0,68.75,0,27.8,12.2,287,17,20,22,23,26,27,10.42
0,62.5,0,29.4,16.2,297,18,21,23,25,27,27,10.57
0,68.25, 2.33333,29.8,15,307,21,22,25,27,27,28,9.73
0,68.25,6,29,13.4,317,22,23,27,27,27,22,8.51
0,70.75, 1.66667,30.2,11.2,18,22,26,27,28,30,30,9.57
30.5,95, 9.33333,19.8,15.2,28,17,17,17,17,17,16,0.76
0,89.25, 9.66667,18.2,11.4,38,12,13,15,16,17,17,4.58
0,87, 3.33333,18.4,7.4,48,10,11,13,16,17,17,11.96
0,79,2,20.8,9.2,58,13,17,18,20,21,20,11.55
0,72.75,0,24.2,10.2,68,16,17,18,21,22,22,11.97
0,74.75,2,26.8,8.8,78,13,17,20,22,23,25,11.16
20.4,86.25, 8.33333,24.6,15,88,16,17,18,20,21,21,3.25
2.6,86,6,16.6,9.2,98,12,12,12,16,16,16,5.91
0,86, 4.33333,20,11.2,108,16,17,18,20,20,20,9.92
13.7,92.25,10,18.4,15.2,118,16,17,17,17,17,17,2.66
11.3,98,10,22,15.6,128,16,16,16,16,16,16,0.02
118.7,98.5,10,17,13.4,138,17,16,16,16,15,15,1.15
22.2,85.5, 5.33333,20.6,10.6,148,13,13,16,17,17,18,12.28
0,88.75, 3.33333,19.8,6.8,158,10,10,12,17,18,20,13.45
0.3,89.25, 4.66667,21,10,168,12,13,15,18,18,20,9.72
0,89.75, 3.66667,21,7.4,178,11,12,15,17,18,21,9.82
0.1,86.75, 3.33333,26,8.8,188,12,13,18,22,23,25,12.55
0,79.25, 4.66667,25.8,14.6,198,21,22,22,22,22,25,7.57
2.4,75.5, 6.66667,18.6,8.4,208,12,12,13,13,16,16,9.32
0,73, 1.33333,16,2.4,218,8,11,13,15,16,16,14.54
